Repeticao,Tamanho,Tipo_Vetor,Algoritmo,Tempo
1,10000,Aleatorio,MergeSort,0.003000
1,10000,Aleatorio,QuickSort,0.001000
1,10000,Aleatorio,HeapSort,0.001000
2,10000,Aleatorio,MergeSort,0.003000
2,10000,Aleatorio,QuickSort,0.001000
2,10000,Aleatorio,HeapSort,0.002000
3,10000,Aleatorio,MergeSort,0.002000
3,10000,Aleatorio,QuickSort,0.002000
3,10000,Aleatorio,HeapSort,0.002000
4,10000,Aleatorio,MergeSort,0.002000
4,10000,Aleatorio,QuickSort,0.000000
4,10000,Aleatorio,HeapSort,0.001000
5,10000,Aleatorio,MergeSort,0.002000
5,10000,Aleatorio,QuickSort,0.001000
5,10000,Aleatorio,HeapSort,0.002000
6,10000,Aleatorio,MergeSort,0.002000
6,10000,Aleatorio,QuickSort,0.001000
6,10000,Aleatorio,HeapSort,0.002000
7,10000,Aleatorio,MergeSort,0.003000
7,10000,Aleatorio,QuickSort,0.001000
7,10000,Aleatorio,HeapSort,0.002000
8,10000,Aleatorio,MergeSort,0.003000
8,10000,Aleatorio,QuickSort,0.001000
8,10000,Aleatorio,HeapSort,0.002000
9,10000,Aleatorio,MergeSort,0.003000
9,10000,Aleatorio,QuickSort,0.001000
9,10000,Aleatorio,HeapSort,0.001000
10,10000,Aleatorio,MergeSort,0.002000
10,10000,Aleatorio,QuickSort,0.002000
10,10000,Aleatorio,HeapSort,0.002000
1,10000,Crescente,MergeSort,0.002000
1,10000,Crescente,QuickSort,0.001000
1,10000,Crescente,HeapSort,0.001000
2,10000,Crescente,MergeSort,0.003000
2,10000,Crescente,QuickSort,0.000000
2,10000,Crescente,HeapSort,0.001000
3,10000,Crescente,MergeSort,0.002000
3,10000,Crescente,QuickSort,0.001000
3,10000,Crescente,HeapSort,0.002000
4,10000,Crescente,MergeSort,0.002000
4,10000,Crescente,QuickSort,0.001000
4,10000,Crescente,HeapSort,0.001000
5,10000,Crescente,MergeSort,0.002000
5,10000,Crescente,QuickSort,0.001000
5,10000,Crescente,HeapSort,0.003000
6,10000,Crescente,MergeSort,0.002000
6,10000,Crescente,QuickSort,0.001000
6,10000,Crescente,HeapSort,0.001000
7,10000,Crescente,MergeSort,0.003000
7,10000,Crescente,QuickSort,0.001000
7,10000,Crescente,HeapSort,0.001000
8,10000,Crescente,MergeSort,0.004000
8,10000,Crescente,QuickSort,0.001000
8,10000,Crescente,HeapSort,0.002000
9,10000,Crescente,MergeSort,0.002000
9,10000,Crescente,QuickSort,0.001000
9,10000,Crescente,HeapSort,0.001000
10,10000,Crescente,MergeSort,0.002000
10,10000,Crescente,QuickSort,0.001000
10,10000,Crescente,HeapSort,0.002000
1,10000,Decrescente,MergeSort,0.002000
1,10000,Decrescente,QuickSort,0.001000
1,10000,Decrescente,HeapSort,0.001000
2,10000,Decrescente,MergeSort,0.003000
2,10000,Decrescente,QuickSort,0.001000
2,10000,Decrescente,HeapSort,0.002000
3,10000,Decrescente,MergeSort,0.002000
